Marca temporal,Escull el teu idioma / Escoge tu idioma / Choose your language,Gènere,Nacionalitat,"Has finalitzat, o estas actualment cursant, estudis superiors STEM?","El teu referent 1 (Pares, mares,tutors,...)ha finalitzat estudis superiors?","En cas afirmatiu, estan aquests enfocats en l’àmbit STEM?","El teu referent 2 (Pares, mares,tutors,...) ha finalitzat estudis superiors?","En cas afirmatiu, estan aquests enfocats en l’àmbit STEM?",Consideres que els estudis d’algun del teus referents o d’amdós t’han condicionat a l’hora d’escollir els teus estudis superiors?,Género,Nacionalidad,"¿Has finalizado, o estás actualmente cursando, estudios superiores STEM?","¿Tu referente 1 (Padres, madres,tutores...) ha finalizado estudios superiores?","En caso afirmativo, ¿pertenecen al ámbito STEM?","¿Tu referente 2 (padres,madres,tutores...) ha finalizado estudios superiores?","En caso afirmativo, ¿pertenecen al ámbito STEM?",¿Consideras que los estudios de alguno de tus referentes o de ambos te han condicionado a la hora de escoger tus estudios superiores?,Gender,Nationality,"Have you completed, or are you currently pursuing, STEM higher education?",Has your first mentor (Fathers/mothers/tutors) completed their higher education?,"If so, are the studies STEM-focused?",Has your second mentor (Fathers/mothers/tutors) completed their higher education?,"If so, are the studies STEM-focused?",Do you consider that your mentors’ studies have influenced you when choosing your career? 
4/12/2020 12:21:18,Cat,Home,Espanyola,Sí,Sí,Sí,No,,Sí,,,,,,,,,,,,,,,,
4/12/2020 12:32:06,Cat,Home,Espanyola,No,No,No,No,No,No,,,,,,,,,,,,,,,,
4/12/2020 12:32:09,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,Sí,Sí,,,,,,,,,,,,,,,,
4/12/2020 12:44:27,Cat,Dona,Espanyola,Sí,No,No,No,No,No,,,,,,,,,,,,,,,,
4/12/2020 12:49:33,Cat,Dona,Espanyola,Sí,Sí,Sí,No,,Sí,,,,,,,,,,,,,,,,
4/12/2020 12:50:46,Cat,Dona,Espanyola,Sí,Sí,Sí,No,No,No,,,,,,,,,,,,,,,,
4/12/2020 13:09:36,Cat,Dona,Espanyola,Sí,No,,Sí,No,No,,,,,,,,,,,,,,,,
4/12/2020 13:22:12,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,No,No,,,,,,,,,,,,,,,,
4/12/2020 13:32:59,Cat,Dona,Espanyola,Sí,No,No,No,No,No,,,,,,,,,,,,,,,,
4/12/2020 13:36:19,Cat,Dona,Espanyola,Sí,Sí,No,No,No,No,,,,,,,,,,,,,,,,
4/12/2020 13:38:59,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
4/12/2020 13:39:19,Cat,Dona,Espanyola,Sí,Sí,No,Sí,Sí,No,,,,,,,,,,,,,,,,
4/12/2020 14:18:08,Cat,Dona,Espanyola,Sí,Sí,Sí,No,,Sí,,,,,,,,,,,,,,,,
4/12/2020 14:19:01,Cat,Dona,Espanyola,Sí,Sí,Sí,,,Sí,,,,,,,,,,,,,,,,
4/12/2020 14:29:58,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,No,No,,,,,,,,,,,,,,,,
4/12/2020 14:30:28,Cat,Dona,Espanyola,Sí,Sí,No,Sí,Sí,No,,,,,,,,,,,,,,,,
4/12/2020 14:30:39,Esp,Mujer,Española,Sí,Sí,No,No,,No,,,,,,,,,,,,,,,,
4/12/2020 14:42:53,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
4/12/2020 14:52:49,Cat,Dona,Espanyola,Sí,No,No,No,No,No,,,,,,,,,,,,,,,,
4/12/2020 14:53:46,Cat,Home,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
4/12/2020 15:03:49,Esp,Hombre,Española,No,Sí,No,Sí,No,No,,,,,,,,,,,,,,,,
4/12/2020 15:28:50,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,No,Sí,,,,,,,,,,,,,,,,
4/12/2020 15:47:04,Esp,Mujer,Española,Sí,Sí,Sí,No,,Sí,,,,,,,,,,,,,,,,
4/12/2020 15:49:32,Cat,Dona,Espanyola,Sí,No,,No,,No,,,,,,,,,,,,,,,,
4/12/2020 15:51:26,Cat,Dona,Espanyola,Sí,Sí,Sí,Sí,Sí,Sí,,,,,,,,,,,,,,,,
4/12/2020 15:51:36,Cat,Dona,Espanyola,Sí,Sí,No,No,,No,,,,,,,,,,,,,,,,
